【大梁】
符号名：断面,符号名,共通符号名,階数,断面位置,断面,ｺﾝｸﾘｰﾄ:ｂ×Ｄ,主筋:上端,主筋:下端,主筋:材料:上端,主筋:材料:下端,かぶり・あき:上端mm,かぶり・あき:下端mm,あばら筋:　,あばら筋:材料
12G5:全断面,12G5,G5,12層,全断面,,600×800(Fc30),5/4-D32,5/3-D32,SD390,SD390,50/48.0,50/48.0,4-TA13@150,SPR685
11G4:左端,11G4,G4,11層,左端,,700×800(Fc30),6/2-D35,6/2-D35,SD390,SD390,50/52.5,50/52.5,3-TA13@150,SPR685
11G4:中央,11G4,G4,11層,中央,,700×800(Fc30),6-D35,6-D35,SD390,SD390,50,50,3-TA13@150,SPR685
11G4:右端,11G4,G4,11層,右端,,700×800(Fc30),6/2-D35,6/2-D35,SD390,SD390,50/52.5,50/52.5,3-TA13@150,SPR685
11G5:全断面,11G5,G5,11層,全断面,,700×800(Fc30),6/2-D35,6/2-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
10G4:左端,10G4,G4,10層,左端,,700×800(Fc33),6/2-D35,6/2-D35,SD390,SD390,50/52.5,50/52.5,3-TA13@150,SPR685
10G4:中央,10G4,G4,10層,中央,,700×800(Fc33),6-D35,6-D35,SD390,SD390,50,50,3-TA13@150,SPR685
10G4:右端,10G4,G4,10層,右端,,700×800(Fc33),6/2-D35,6/2-D35,SD390,SD390,50/52.5,50/52.5,3-TA13@150,SPR685
10G5:全断面,10G5,G5,10層,全断面,,700×800(Fc33),6/2-D35,6/2-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
9G4:左端,9G4,G4,9層,左端,,700×850(Fc33),6/3-D35,6/3-D35,SD390,SD390,50/52.5,50/52.5,3-TA13@150,SPR685
9G4:中央,9G4,G4,9層,中央,,700×850(Fc33),6-D35,6-D35,SD390,SD390,50,50,3-TA13@150,SPR685
9G4:右端,9G4,G4,9層,右端,,700×850(Fc33),6/3-D35,6/3-D35,SD390,SD390,50/52.5,50/52.5,3-TA13@150,SPR685
9G5:全断面,9G5,G5,9層,全断面,,700×850(Fc33),6/3-D35,6/3-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
8G4:左端,8G4,G4,8層,左端,,700×850(Fc33),6/3-D35,6/3-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
8G4:中央,8G4,G4,8層,中央,,700×850(Fc33),6-D35,6-D35,SD390,SD390,50,50,4-TA13@150,SPR685
8G4:右端,8G4,G4,8層,右端,,700×850(Fc33),6/4-D35,6/3-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
8G5:全断面,8G5,G5,8層,全断面,,700×850(Fc33),6/4-D35,6/3-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@100,SPR685
7G4:左端,7G4,G4,7層,左端,,700×850(Fc33),6/3-D35,6/3-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
7G4:中央,7G4,G4,7層,中央,,700×850(Fc33),6-D35,6-D35,SD390,SD390,50,50,4-TA13@150,SPR685
7G4:右端,7G4,G4,7層,右端,,700×850(Fc33),6/5-D35,6/4-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
7G5:全断面,7G5,G5,7層,全断面,,700×850(Fc33),6/5-D35,6/4-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@100,SPR685
6G4:左端,6G4,G4,6層,左端,,700×850(Fc36),6/4-D35,6/4-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
6G4:中央,6G4,G4,6層,中央,,700×850(Fc36),6-D35,6-D35,SD390,SD390,50,50,4-TA13@150,SPR685
6G4:右端,6G4,G4,6層,右端,,700×850(Fc36),6/5-D35,6/4-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
6G5:全断面,6G5,G5,6層,全断面,,700×850(Fc36),6/5-D35,6/4-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@100,SPR685
3G4:左端,5G4,G4,5層～3層,左端,,700×900(Fc36),6/4-D35,6/4-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
4G4:左端,5G4,G4,5層～3層,左端,,700×900(Fc36),6/4-D35,6/4-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
5G4:左端,5G4,G4,5層～3層,左端,,700×900(Fc36),6/4-D35,6/4-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
3G4:中央,5G4,G4,5層～3層,中央,,700×900(Fc36),6-D35,6-D35,SD390,SD390,50,50,4-TA13@150,SPR685
4G4:中央,5G4,G4,5層～3層,中央,,700×900(Fc36),6-D35,6-D35,SD390,SD390,50,50,4-TA13@150,SPR685
5G4:中央,5G4,G4,5層～3層,中央,,700×900(Fc36),6-D35,6-D35,SD390,SD390,50,50,4-TA13@150,SPR685
3G4:右端,5G4,G4,5層～3層,右端,,700×900(Fc36),6/5-D35,6/4-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
