【大梁】
符号名：断面,符号名,共通符号名,階数,断面位置,断面,ｺﾝｸﾘｰﾄ:ｂ×Ｄ,ｺﾝｸﾘｰﾄ:荷重剛性用,主筋:上端,主筋:下端,主筋:材料:上端,主筋:材料:下端,かぶり・あき:上端mm,かぶり・あき:下端mm,あばら筋:　,あばら筋:材料
6G11:全断面,6G11,G11,6FL層,全断面,,350×650(Fc30),,3-D19,3-D19,SD345,SD345,90,100,2-D10@200,SD295A
5G11:全断面,5G11,G11,5FL層,全断面,,350×650(Fc30),,3-D19,3-D19,SD345,SD345,90,100,2-D10@200,SD295A
3G11:全断面,4G11,G11,4FL層～3FL層,全断面,,350×650(Fc30),,3-D19,3-D19,SD345,SD345,90,100,2-D10@200,SD295A
4G11:全断面,4G11,G11,4FL層～3FL層,全断面,,350×650(Fc30),,3-D19,3-D19,SD345,SD345,90,100,2-D10@200,SD295A
2G11:全断面,2G11,G11,2FL層,全断面,,400×650(Fc30),,3-D19,3-D19,SD345,SD345,90,100,2-D13@200,SD295A
【基礎大梁】
符号名：断面,符号名,共通符号名,階数,断面位置,断面,ｺﾝｸﾘｰﾄ:ｂ×Ｄ,ｺﾝｸﾘｰﾄ:荷重剛性用,主筋:上端,主筋:下端,主筋:材料:上端,主筋:材料:下端,かぶり・あき:上端mm,かぶり・あき:下端mm,あばら筋:　,あばら筋:材料
FG1:左端,FG1,G1,1FL層,左端,,950×1800(Fc30),950×2150,7/7-D35,6/6/2-D35,SD390,SD390,50/52.5,60/52.5/52.5,5-TA16@150,SPR685
FG1:中央,FG1,G1,1FL層,中央,,950×1800(Fc30),950×2150,7/7-D35,6/6-D35,SD390,SD390,50/52.5,60/52.5,5-TA16@150,SPR685
FG1:右端,FG1,G1,1FL層,右端,,950×1800(Fc30),950×2150,7/7-D35,6/6-D35,SD390,SD390,50/52.5,60/52.5,5-TA16@150,SPR685
FG2:左端,FG2,G2,1FL層,左端,,1000×1800(Fc30),1000×2150,8/8-D35,6/6-D35,SD390,SD390,50/52.5,60/52.5,6-TA16@150,SPR685
FG2:中央,FG2,G2,1FL層,中央,,1000×1800(Fc30),1000×2150,8/8-D35,6/6-D35,SD390,SD390,50/52.5,60/52.5,6-TA16@150,SPR685
FG2:右端,FG2,G2,1FL層,右端,,1000×1800(Fc30),1000×2150,8/8/5-D35,6/6-D35,SD390,SD390,50/52.5/52.5,60/52.5,6-TA16@150,SPR685
FG3:左端,FG3,G3,1FL層,左端,,1000×1800(Fc30),1000×1950,7/7-D35,6/6/2-D35,SD390,SD390,50/52.5,60/52.5/52.5,4-TA16@150,SPR685
FG3:中央,FG3,G3,1FL層,中央,,1000×1800(Fc30),1000×1950,7/5-D35,6/6-D35,SD390,SD390,50/52.5,60/52.5,4-TA16@150,SPR685
FG3:右端,FG3,G3,1FL層,右端,,1000×1800(Fc30),1000×1950,7/5-D35,6/6-D35,SD390,SD390,50/52.5,60/52.5,4-TA16@150,SPR685
FG11:全断面,FG11,G11,1FL層,全断面,,500×1800(Fc30),500×1950,4/2-D29,4/2-D29,SD390,SD390,90/43.5,100/43.5,2-D13@200,SD295A
【柱】
符号名：断面,符号名,共通符号名,階数,断面,ｺﾝｸﾘｰﾄ:Dx×Dy,主筋:X,主筋:Y,主筋:材料,かぶりmm,帯筋:X,帯筋:Y,帯筋:材料
